"ippi-ihpi","indices","Unit","Date","Value"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2019M11","100.373038076561"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2019M12","116.455719663608"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2020M1","108.810232209901"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2020M2","111.915263484022"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2020M3","117.115477230661"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2020M4","102.336869978017"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2020M5","105.66447173585"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2020M6","113.360098537516"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2020M7","107.967223584978"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2020M8","111.149312992456"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2020M9","108.674317585538"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2020M10","110.756937165517"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2020M11","122.164579489585"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2020M12","129.017992037383"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2021M1","125.326089417318"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2021M2","117.831267730104"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2021M3","145.653934757017"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2021M4","137.912304456645"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2021M5","140.35541186729"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2021M6","146.237059076367"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2021M7","131.452843781942"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2021M8","139.557679004273"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2021M9","124.147115162009"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2021M10","121.07480173829"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2021M11","134.789877329863"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2021M12","122.510975580239"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2022M1","135.287720163625"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2022M2","138.36540870692"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2022M3","146.011962232575"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2022M4","133.742069812637"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2022M5","120.998191948779"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2022M6","124.392623582404"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2022M7","125.716037528797"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2022M8","132.268701726812"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2022M9","123.784621801012"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2022M10","123.730711913599"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2022M11","137.82668228287"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2022M12","152.092379566113"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2023M1","129.108218522013"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2023M2","122.652648445473"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2023M3","141.750052128329"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2023M4","127.621628376684"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2023M5","136.571717588912"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2023M6","129.804821130941"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2023M7","121.297084641283"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2023M8","130.889248984487"
